Year,Name,Code,Yield,Harvest area,region
1961,ARIZONA,4,18,21000,4
1960,ARIZONA,4,16.5,21000,4
1959,ARIZONA,4,17.5,22000,4
1958,ARIZONA,4,24,24000,4
1957,ARIZONA,4,30.5,28000,4
1956,ARIZONA,4,30,35000,4
1955,ARIZONA,4,25,40000,4
1954,ARIZONA,4,16,28000,4
1953,ARIZONA,4,15,27000,4
1952,ARIZONA,4,12.5,28000,4
1951,ARIZONA,4,10.5,25000,4
1950,ARIZONA,4,15,25000,4
1949,ARIZONA,4,15.5,25000,4
1948,ARIZONA,4,15.5,23000,4
1947,ARIZONA,4,15.5,23000,4
1946,ARIZONA,4,12,23000,4
1945,ARIZONA,4,12,23000,4
1944,ARIZONA,4,9.2,25000,4
1943,ARIZONA,4,11.5,24000,4
1942,ARIZONA,4,11.5,25000,4
1941,ARIZONA,4,11.5,29000,4
1940,ARIZONA,4,11,27000,4
1939,ARIZONA,4,10.9,25000,4
1938,ARIZONA,4,12,29000,4
1937,ARIZONA,4,13,27000,4
1936,ARIZONA,4,15,27000,4
1935,ARIZONA,4,12,26000,4
1934,ARIZONA,4,13.5,23000,4
1933,ARIZONA,4,18,25000,4
1932,ARIZONA,4,15,25000,4
1931,ARIZONA,4,15,21000,4
1930,ARIZONA,4,17,19000,4
1929,ARIZONA,4,14,18000,4
1928,ARIZONA,4,17,22000,4
1927,ARIZONA,4,23,24000,4
1926,ARIZONA,4,14,22000,4
1925,ARIZONA,4,16,19000,4
1924,ARIZONA,4,13.3,17000,4
1923,ARIZONA,4,19,23000,4
1922,ARIZONA,4,17,23000,4
1921,ARIZONA,4,19,21000,4
1920,ARIZONA,4,13,21000,4
1919,ARIZONA,4,21,22000,4
1918,ARIZONA,4,18,30000,4
1917,ARIZONA,4,19,28000,4
1916,ARIZONA,4,21.5,20000,4
1915,ARIZONA,4,19,20000,4
1914,ARIZONA,4,20,18000,4
1913,ARIZONA,4,19,17000,4
1912,ARIZONA,4,21,16000,4
1911,ARIZONA,4,19,15000,4
1910,ARIZONA,4,18,15000,4
1909,ARIZONA,4,19.5,17000,4
1908,ARIZONA,4,20,16000,4
1907,ARIZONA,4,21.5,15000,4
1906,ARIZONA,4,22.5,13000,4
1905,ARIZONA,4,21.5,13000,4
1904,ARIZONA,4,18,10000,4
1903,ARIZONA,4,22,12000,4
1902,ARIZONA,4,18.5,10000,4
1901,ARIZONA,4,18.5,12000,4
1900,ARIZONA,4,17.5,11000,4
1899,ARIZONA,4,17.6,13000,4
1898,ARIZONA,4,19,12000,4
1897,ARIZONA,4,20,11000,4
1896,ARIZONA,4,20,10000,4
1895,ARIZONA,4,20,8000,4
1894,ARIZONA,4,19.5,7000,4
1893,ARIZONA,4,18.5,6000,4
1892,ARIZONA,4,18,5000,4
1891,ARIZONA,4,19,4000,4
1890,ARIZONA,4,19,4000,4
1889,ARIZONA,4,19.1,4000,4
1888,ARIZONA,4,20,4000,4
1887,ARIZONA,4,19,3000,4
1886,ARIZONA,4,22,3000,4
1885,ARIZONA,4,22,3000,4
1884,ARIZONA,4,21,3000,4
1883,ARIZONA,4,20,3000,4
1882,ARIZONA,4,21,3000,4
2018,ARKANSAS,5,181,645000,3
2017,ARKANSAS,5,183,595000,3
2016,ARKANSAS,5,171,745000,3
2015,ARKANSAS,5,181,445000,3
2014,ARKANSAS,5,187,530000,3
2013,ARKANSAS,5,186,870000,3
2012,ARKANSAS,5,178,695000,3
2011,ARKANSAS,5,141,520000,3
2010,ARKANSAS,5,150,380000,3
2009,ARKANSAS,5,148,410000,3
2008,ARKANSAS,5,152,430000,3
2007,ARKANSAS,5,169,590000,3
2006,ARKANSAS,5,146,180000,3
2005,ARKANSAS,5,131,230000,3
2004,ARKANSAS,5,140,305000,3
2003,ARKANSAS,5,140,350000,3
2002,ARKANSAS,5,134,255000,3
2001,ARKANSAS,5,145,185000,3
2000,ARKANSAS,5,130,175000,3
1999,ARKANSAS,5,130,100000,3
1998,ARKANSAS,5,100,215000,3
1997,ARKANSAS,5,125,185000,3
1996,ARKANSAS,5,125,230000,3
1995,ARKANSAS,5,115,85000,3
1994,ARKANSAS,5,120,90000,3
1993,ARKANSAS,5,91,90000,3
1992,ARKANSAS,5,130,95000,3
1991,ARKANSAS,5,100,80000,3
1990,ARKANSAS,5,95,73000,3
1989,ARKANSAS,5,122,58000,3
1988,ARKANSAS,5,100,60000,3
1987,ARKANSAS,5,115,65000,3
1986,ARKANSAS,5,106,80000,3
1985,ARKANSAS,5,108,73000,3
1985,ARKANSAS,5,108,74000,3
1985,ARKANSAS,5,108,107,3
1984,ARKANSAS,5,95,49000,3
1984,ARKANSAS,5,95,50000,3
1984,ARKANSAS,5,95,93,3
1983,ARKANSAS,5,80,33000,3
1983,ARKANSAS,5,80,34000,3
1983,ARKANSAS,5,80,77.6,3
1982,ARKANSAS,5,90,30000,3
1982,ARKANSAS,5,90,32000,3
1982,ARKANSAS,5,90,84,3
1981,ARKANSAS,5,65,49000,3
1981,ARKANSAS,5,65,53000,3
1981,ARKANSAS,5,65,60,3
1980,ARKANSAS,5,28,37000,3
1980,ARKANSAS,5,28,47000,3
1980,ARKANSAS,5,28,22,3
1979,ARKANSAS,5,58,35000,3
1979,ARKANSAS,5,58,39000,3
1979,ARKANSAS,5,58,52,3
1978,ARKANSAS,5,60,30000,3
1978,ARKANSAS,5,60,31000,3
1978,ARKANSAS,5,60,58,3
1977,ARKANSAS,5,53,43000,3
1976,ARKANSAS,5,56,45000,3
1975,ARKANSAS,5,50,38000,3
1974,ARKANSAS,5,44,23000,3
1973,ARKANSAS,5,35,21000,3
1972,ARKANSAS,5,40,28000,3
1971,ARKANSAS,5,39,40000,3
1970,ARKANSAS,5,36,44000,3
1969,ARKANSAS,5,36,43000,3
1968,ARKANSAS,5,41,51000,3
1967,ARKANSAS,5,42,62000,3
1966,ARKANSAS,5,30.5,76000,3
1965,ARKANSAS,5,37,98000,3
1964,ARKANSAS,5,25.5,132000,3
1963,ARKANSAS,5,34,174000,3
1962,ARKANSAS,5,32.5,207000,3
1961,ARKANSAS,5,35.5,238000,3
1960,ARKANSAS,5,31.5,305000,3
1959,ARKANSAS,5,32,380000,3
1958,ARKANSAS,5,31,422000,3
1957,ARKANSAS,5,27.5,475000,3
1956,ARKANSAS,5,27,646000,3
1955,ARKANSAS,5,30,630000,3
1954,ARKANSAS,5,11.5,573000,3
1953,ARKANSAS,5,17,637000,3
1952,ARKANSAS,5,15,827000,3
1951,ARKANSAS,5,23.5,955000,3
1950,ARKANSAS,5,23.5,1337000,3
1949,ARKANSAS,5,22,1100000,3
1948,ARKANSAS,5,23,1227000,3
1947,ARKANSAS,5,17,1267000,3
1946,ARKANSAS,5,21,1435000,3
1945,ARKANSAS,5,21,1335000,3
1944,ARKANSAS,5,16.5,1547000,3
1943,ARKANSAS,5,12.5,1670000,3
1942,ARKANSAS,5,17.5,1822000,3
1941,ARKANSAS,5,19,1978000,3
1940,ARKANSAS,5,21,2105000,3
1939,ARKANSAS,5,15.4,2186000,3
1938,ARKANSAS,5,16.5,2228000,3
1937,ARKANSAS,5,20,2111000,3
1936,ARKANSAS,5,13,2103000,3
1935,ARKANSAS,5,12,2149000,3
1934,ARKANSAS,5,8.7,2039000,3
1933,ARKANSAS,5,13.5,2052000,3
1932,ARKANSAS,5,18,2075000,3
1931,ARKANSAS,5,22.5,2017000,3
1930,ARKANSAS,5,6,1537000,3
1929,ARKANSAS,5,15.6,1757000,3
1928,ARKANSAS,5,17,1807000,3
1927,ARKANSAS,5,19,1886000,3
1926,ARKANSAS,5,19.5,1993000,3
1925,ARKANSAS,5,15,1984000,3
1924,ARKANSAS,5,15.5,2024000,3
1923,ARKANSAS,5,15.5,1936000,3
1922,ARKANSAS,5,18,2199000,3
1921,ARKANSAS,5,22,2459000,3
1920,ARKANSAS,5,23.4,2230000,3
1919,ARKANSAS,5,15,2292000,3
1918,ARKANSAS,5,10.5,2500000,3
1917,ARKANSAS,5,21.5,2475000,3
1916,ARKANSAS,5,15,2300000,3
1915,ARKANSAS,5,20.5,2390000,3
1914,ARKANSAS,5,15,2160000,3
1913,ARKANSAS,5,16.5,2260000,3
1912,ARKANSAS,5,18.5,2290000,3
1911,ARKANSAS,5,19,2230000,3
1910,ARKANSAS,5,22,2290000,3
1909,ARKANSAS,5,16.5,2287000,3
1908,ARKANSAS,5,19.5,2140000,3
1907,ARKANSAS,5,15.5,2100000,3
1906,ARKANSAS,5,22,2030000,3
1905,ARKANSAS,5,18,2030000,3
1904,ARKANSAS,5,20.5,2070000,3
1903,ARKANSAS,5,21,2150000,3
1902,ARKANSAS,5,21.5,2240000,3
1901,ARKANSAS,5,8,2190000,3
1900,ARKANSAS,5,18,2280000,3
1899,ARKANSAS,5,19,2324000,3
1898,ARKANSAS,5,21,2190000,3
1897,ARKANSAS,5,16.5,2130000,3
1896,ARKANSAS,5,14,2100000,3
1895,ARKANSAS,5,21.5,2260000,3
1894,ARKANSAS,5,19,1930000,3
1893,ARKANSAS,5,17,1910000,3
1892,ARKANSAS,5,18,1910000,3
1891,ARKANSAS,5,21,1770000,3
1890,ARKANSAS,5,16.5,1670000,3
1889,ARKANSAS,5,20.6,1740000,3
1888,ARKANSAS,5,19,1740000,3
1887,ARKANSAS,5,20,1680000,3
1886,ARKANSAS,5,20.5,1680000,3
1885,ARKANSAS,5,20,1620000,3
1884,ARKANSAS,5,18.5,1520000,3
1883,ARKANSAS,5,18,1540000,3
1882,ARKANSAS,5,21.5,1500000,3
1881,ARKANSAS,5,15,1390000,3
1880,ARKANSAS,5,21,1340000,3
1879,ARKANSAS,5,18.6,1298000,3
1878,ARKANSAS,5,19,1240000,3
1877,ARKANSAS,5,20,1240000,3
1876,ARKANSAS,5,20,1250000,3
1875,ARKANSAS,5,21,1230000,3
1874,ARKANSAS,5,12.5,1030000,3
1873,ARKANSAS,5,18.5,950000,3
1872,ARKANSAS,5,17.5,930000,3
1871,ARKANSAS,5,20,930000,3
1870,ARKANSAS,5,21,770000,3
1869,ARKANSAS,5,18.5,730000,3
1868,ARKANSAS,5,20,780000,3
1867,ARKANSAS,5,21.5,540000,3
1866,ARKANSAS,5,18,280000,3
2018,CALIFORNIA,6,173,65000,4
2017,CALIFORNIA,6,167,80000,4
2016,CALIFORNIA,6,185,100000,4
2015,CALIFORNIA,6,157,60000,4
2014,CALIFORNIA,6,165,95000,4
2013,CALIFORNIA,6,191,180000,4
2012,CALIFORNIA,6,180,180000,4
2011,CALIFORNIA,6,181,150000,4
2010,CALIFORNIA,6,192,180000,4
2009,CALIFORNIA,6,180,160000,4
2008,CALIFORNIA,6,195,170000,4
2007,CALIFORNIA,6,182,190000,4
2006,CALIFORNIA,6,165,110000,4
2005,CALIFORNIA,6,172,130000,4
2004,CALIFORNIA,6,175,150000,4
2003,CALIFORNIA,6,160,140000,4
2002,CALIFORNIA,6,170,150000,4
2001,CALIFORNIA,6,170,160000,4
2000,CALIFORNIA,6,170,205000,4
1999,CALIFORNIA,6,170,185000,4
1998,CALIFORNIA,6,160,245000,4
1997,CALIFORNIA,6,170,265000,4
1996,CALIFORNIA,6,160,220000,4
1995,CALIFORNIA,6,160,150000,4
1994,CALIFORNIA,6,170,180000,4
1993,CALIFORNIA,6,165,170000,4
1992,CALIFORNIA,6,165,150000,4
1991,CALIFORNIA,6,160,115000,4
1990,CALIFORNIA,6,160,160000,4
1989,CALIFORNIA,6,160,185000,4
1988,CALIFORNIA,6,145,187000,4
1987,CALIFORNIA,6,160,221000,4
1986,CALIFORNIA,6,152,250000,4
1985,CALIFORNIA,6,145,320000,4
1984,CALIFORNIA,6,136,375000,4
1984,CALIFORNIA,6,136,375000,4
1984,CALIFORNIA,6,136,136,4
1983,CALIFORNIA,6,128,260000,4
1983,CALIFORNIA,6,128,260000,4
1983,CALIFORNIA,6,128,128,4
1982,CALIFORNIA,6,130,330000,4
1982,CALIFORNIA,6,130,330000,4
1982,CALIFORNIA,6,130,130,4
1981,CALIFORNIA,6,130,275000,4
1981,CALIFORNIA,6,130,275000,4
1981,CALIFORNIA,6,130,130,4
1980,CALIFORNIA,6,135,270000,4
1980,CALIFORNIA,6,135,270000,4
1980,CALIFORNIA,6,135,135,4
1979,CALIFORNIA,6,117,260000,4
1979,CALIFORNIA,6,117,260000,4
