county1,distance,county2,n_distance
3,338.2518445,15,0.912592133
3,355.9079175,7,0.961900035
3,356.2272899,201,0.962791943
3,357.3338217,177,0.965882141
3,358.3591776,111,0.96874564
3,360.7239722,85,0.975349773
3,369.5506751,97,1
5,19.32527396,27,0.021929744
5,23.74569511,135,0.034274601
5,23.86503623,51,0.034607884
5,25.27301642,119,0.038539933
5,32.2981017,121,0.058158804
5,36.82668348,189,0.07080572
5,37.13930975,117,0.071678787
5,39.10484088,163,0.077167902
5,46.34240315,21,0.097380155
5,46.68736813,49,0.098343535
5,48.54685361,173,0.103536497
5,48.99144276,81,0.104778096
5,51.44960239,83,0.111642969
5,52.17978118,25,0.11368213
5,55.50337822,145,0.1229639
5,58.07381128,133,0.130142317
5,60.4311354,61,0.136725588
5,60.96644175,157,0.138220531
5,61.34071553,167,0.139265761
5,62.61638591,191,0.142828311
5,67.6304912,139,0.156831142
5,67.66749336,55,0.156934478
5,68.75007784,13,0.159957798
5,69.5006373,35,0.162053877
5,69.58304677,79,0.16228402
5,70.50933755,137,0.164870862
5,71.94139046,115,0.168870138
5,73.60096531,65,0.173504813
5,73.73318243,159,0.173874054
5,76.05002217,77,0.180344265
5,76.12543166,171,0.18055486
5,78.22373762,29,0.186414774
5,80.81759979,129,0.193658621
5,81.63120911,47,0.195930778
5,84.433509,199,0.203756727
5,85.97707668,107,0.20806743
5,86.40965368,17,0.209275483
5,87.59541093,193,0.212586933
5,88.9159721,41,0.216274848
5,89.72601002,147,0.218537031
5,90.61270487,33,0.221013293
5,91.38409748,185,0.223167552
5,92.07351716,165,0.225092886
5,92.59991014,101,0.226562937
5,92.98632941,149,0.227642086
5,93.4249525,23,0.228867023
5,93.94103374,39,0.230308277
5,96.74519871,125,0.238139435
5,97.98750932,181,0.241608821
5,101.2429621,59,0.250700284
5,102.1975855,9,0.25336625
5,102.9544725,87,0.255479999
5,105.6702603,45,0.263064347
5,107.9144364,169,0.26933163
5,108.9116151,19,0.272116439
5,112.1597089,179,0.281187352
5,112.5106635,151,0.282167458
5,113.8989627,69,0.286044545
5,115.5166599,113,0.290562268
5,116.5814473,57,0.293535887
5,116.6238178,153,0.293654215
5,117.7089279,3,0.296684589
5,120.7523451,1,0.305183903
5,122.0328937,127,0.308760076
5,126.9650376,109,0.322534015
5,127.9752754,183,0.325355293
5,132.0776237,203,0.336811872
5,132.4498669,143,0.337851431
5,134.458929,53,0.343462115
5,139.6812442,67,0.358046411
5,146.4633713,105,0.376986776
5,147.1763032,95,0.378977772
5,148.3026098,123,0.382123195
5,149.541468,187,0.38558294
5,153.9531608,175,0.397903421
5,154.2817465,75,0.398821058
5,155.2822693,71,0.401615206
5,159.9810228,155,0.414737358
5,172.2649738,99,0.4490426
5,173.8635519,11,0.45350693
5,174.1575957,73,0.454328103
5,174.4453287,131,0.455131651
5,175.0463616,63,0.456810148
5,176.613733,91,0.461187328
5,188.2288031,161,0.493624594
5,193.060568,197,0.507118205
5,194.0937539,93,0.510003571
5,197.8438539,103,0.52047643
5,199.4982991,195,0.52509678
5,210.8259759,37,0.556731446
5,216.9130339,43,0.573730699
5,217.552139,89,0.575515521
5,218.1415533,141,0.577161571
5,220.7498408,15,0.584445704
5,228.2168719,31,0.605298792
5,238.9102792,201,0.635162141
5,239.3642665,7,0.636429986
5,239.6275431,177,0.637165235
5,243.1100885,111,0.646890898
